año,codigo_ies,nombre_ies,sector,caracter,departamento,inscritos,admitidos,matriculados,primer_curso,graduados,docentes,administrativos,tasa_admision,tasa_matricula_admitidos,tasa_graduacion,ratio_docente_estudiante,ratio_admin_estudiante,num_programas,crecimiento_matricula
2023,05,INSTITUCION UNIVERSITARIA  SALAZAR Y HERRERA,Privado,Institución Universitaria/Escuela Tecnológica,Antioquia,,,,,,,22880.0,,,,,,,
2024,05,INSTITUCION UNIVERSITARIA  SALAZAR Y HERRERA,Privado,Institución Universitaria/Escuela Tecnológica,Antioquia,,,,,,,21712.0,,,,,,,
2023,08,UNIVERSIDAD DEL NORTE,Privado,Universidad,Atlántico,,,,,,,9045.0,,,,,,,
2024,08,UNIVERSIDAD DEL NORTE,Privado,Universidad,Atlántico,,,,,,,9452.0,,,,,,,
2023,11,UNIVERSIDAD NACIONAL DE COLOMBIA,Oficial,Universidad,Bogotá D.C.,,,,,,,71517.0,,,,,,,
2024,11,UNIVERSIDAD NACIONAL DE COLOMBIA,Oficial,Universidad,Bogotá D.C.,,,,,,,71961.0,,,,,,,
2000,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,58663.0,,47885.0,5163.0,,,,,,,,,278.0,
2001,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,70645.0,,48022.0,4758.0,,,,,,,,,278.0,0.0028610211966168947
2002,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,68525.0,,47387.0,4346.0,,,,,,,,,278.0,-0.013223106076381658
2003,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,81805.0,,53091.0,4628.0,,,3792.0,,,,,0.07142453523196023,278.0,0.1203705657669825
2004,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,89449.0,,54433.0,4990.0,,,3567.0,,,,,0.06553010122535961,278.0,0.025277353977133602
2005,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,84341.0,,54564.0,5307.0,,,3722.0,,,,,0.06821347408547761,278.0,0.0024066283320779676
2006,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,78757.0,,52132.0,5046.0,,,3785.0,,,,,0.07260415867413489,278.0,-0.04457151235246683
2007,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,88927.0,7983.0,53416.0,6809.0,,4089.0,,0.089770261000596,6.6912188400350745,,0.07655009734910888,,278.0,0.02462978592802885
2008,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,82819.0,8233.0,54733.0,6898.0,,4095.0,,0.09940955577826344,6.648001943398518,,0.0748177516306433,,278.0,0.024655533922420248
2009,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,82941.0,8777.0,54503.0,7392.0,,4135.0,,0.1058222109692432,6.209752762903042,,0.07586738344678275,,278.0,-0.004202218040304752
2010,1101,UNIVERSIDAD NACIONAL DE COLOMBIA,,,BOGOTA D.C,95721.0,9892.0,55269.0,8640.0,,4924.0,1857.0,0.10334200436685785,5.587242215932067,,0.08909153413305831,0.033599305216305705,278.0,0.014054272241894941
