tipo,categoria,año,archivo,columna,descripcion,columna_anterior,columna_actual
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id_Sector,Columna 'Id_Sector' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Género,Columna 'Género' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id Género,Columna 'Id Género' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id_Nivel_Formacion,Columna 'Id_Nivel_Formacion' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Metodología,Columna 'Metodología' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id_Area,Columna 'Id_Area' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id_Caracter,Columna 'Id_Caracter' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id_Metodologia,Columna 'Id_Metodologia' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id_Nivel,Columna 'Id_Nivel' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Id_Nucleo,Columna 'Id_Nucleo' aparece en 2014 pero no en 2000,,
columna_nueva,inscritos,2014,articles-391561_recurso.xlsx,Caracter IES,Columna 'Caracter IES' aparece en 2014 pero no en 2000,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Total 2000-2,Columna 'Total 2000-2' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Mujer 2000-2,Columna 'Mujer 2000-2' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Mujer 2001-1,Columna 'Mujer 2001-1' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Hombre 2000-1,Columna 'Hombre 2000-1' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Hombre 2001-1,Columna 'Hombre 2001-1' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Total 2001-1,Columna 'Total 2001-1' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Total 2000-1,Columna 'Total 2000-1' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Mujer 2000-1,Columna 'Mujer 2000-1' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Hombre 2000-2,Columna 'Hombre 2000-2' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Carácter IES,Columna 'Carácter IES' existía en 2000 pero desapareció en 2014,,
columna_eliminada,inscritos,2014,articles-391561_recurso.xlsx,Metodología  del programa,Columna 'Metodología  del programa' existía en 2000 pero desapareció en 2014,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,ID Nivel Académico,Columna 'ID Nivel Académico' aparece en 2016 pero no en 2015,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,ID Área,Columna 'ID Área' aparece en 2016 pero no en 2015,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,ID Nivel de Formación,Columna 'ID Nivel de Formación' aparece en 2016 pero no en 2015,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,ID Metodología,Columna 'ID Metodología' aparece en 2016 pero no en 2015,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,ID Sexo,Columna 'ID Sexo' aparece en 2016 pero no en 2015,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,Sexo,Columna 'Sexo' aparece en 2016 pero no en 2015,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,ID Caracter,Columna 'ID Caracter' aparece en 2016 pero no en 2015,,
columna_nueva,inscritos,2016,articles-391559_recurso.xlsx,ID Sector IES,Columna 'ID Sector IES' aparece en 2016 pero no en 2015,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Id_Sector,Columna 'Id_Sector' existía en 2015 pero desapareció en 2016,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Género,Columna 'Género' existía en 2015 pero desapareció en 2016,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Id Género,Columna 'Id Género' existía en 2015 pero desapareció en 2016,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Id_Nivel_Formacion,Columna 'Id_Nivel_Formacion' existía en 2015 pero desapareció en 2016,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Id_Area,Columna 'Id_Area' existía en 2015 pero desapareció en 2016,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Id_Caracter,Columna 'Id_Caracter' existía en 2015 pero desapareció en 2016,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Id_Metodologia,Columna 'Id_Metodologia' existía en 2015 pero desapareció en 2016,,
columna_eliminada,inscritos,2016,articles-391559_recurso.xlsx,Id_Nivel,Columna 'Id_Nivel' existía en 2015 pero desapareció en 2016,,
posible_renombre,inscritos,2016,articles-391559_recurso.xlsx,,Posible renombre: 'Id_Caracter' → 'ID Caracter',Id_Caracter,ID Caracter
columna_nueva,inscritos,2019,articles-401907_recurso.xlsx,SECTOR IES,Columna 'SECTOR IES' aparece en 2019 pero no en 2018,,
columna_nueva,inscritos,2019,articles-401907_recurso.xlsx,NIVEL DE FORMACIÓN,Columna 'NIVEL DE FORMACIÓN' aparece en 2019 pero no en 2018,,
