archivo,año,categoria,num_columnas,columnas
articles-391557_recurso.xlsx,2018,inscritos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391558_recurso.xlsx,2017,inscritos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391559_recurso.xlsx,2016,inscritos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391560_recurso.xlsx,2015,inscritos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id_Sector | Sector IES | Id_Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | Id_Nivel | Nivel Académico | Id_Nivel_Formacion | Nivel de Formación | Id_Metodologia | Metodología
articles-391561_recurso.xlsx,2014,inscritos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id_Sector | Sector IES | Id_Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | Id_Nivel | Nivel Académico | Id_Nivel_Formacion | Nivel de Formación | Id_Metodologia | Metodología
articles-391563_recurso.xlsx,2018,admitidos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Carácter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391564_recurso.xlsx,2017,admitidos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Carácter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391565_recurso.xlsx,2016,admitidos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | ID Sector IES | Sector IES | ID Carácter IES | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | ID Nivel Académico | Nivel Académico | ID Nivel de Formación | Nivel de Formación | ID Metodología | Metodología
articles-391566_recurso.xlsx,2015,admitidos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id_Sector | Sector IES | Id_Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | Id_Nivel | Nivel Académico | Id_Nivel_Formacion | Nivel de Formación | Id_Metodologia | Metodología
articles-391567_recurso.xlsx,2014,admitidos,33,Código de  la Institución | IES PADRE | Institución de Educación Superior (IES) | Principal  o Seccional | Id_Sector | Sector IES | Id_Caracter | Caracter IES | Código del  departamento (IES) | Departamento de  domicilio de la IES | Código del  Municipio (IES) | Municipio de domicilio de la IES | Código  SNIES del programa | Programa Académico | Id_Nivel | Nivel Académico | Id_Nivel_Formacion | Nivel de Formación | Id_Metodologia | Metodología
